scenario,depth,rho,m_flux,reps,recurrent_call_rate,mean_events,median_events,mean_n_sites
recurrent,recent,0.0,0.0,60,0.933333,3.616667,4.0,343.7
recurrent,recent,0.0,0.0,60,0.9,3.416667,4.0,333.566667
recurrent,recent,0.0,0.0,60,0.95,3.516667,3.0,360.933333
recurrent,recent,0.0,0.0,60,0.883333,3.683333,4.0,361.35
recurrent,recent,0.0,1e-06,60,0.883333,3.366667,4.0,334.583333
recurrent,recent,0.0,0.0,60,0.9,3.2,3.0,355.266667
recurrent,recent,0.0,0.0,60,0.916667,3.533333,3.0,349.05
recurrent,recent,0.0,0.0,60,0.883333,3.283333,3.0,342.716667
recurrent,recent,0.0,0.0,60,0.933333,3.466667,3.0,351.933333
recurrent,recent,0.0,1e-06,60,0.9,3.466667,3.5,356.266667
recurrent,recent,1e-06,0.0,60,0.916667,1.933333,2.0,358.65
recurrent,recent,1e-06,0.0,60,0.916667,2.0,2.0,351.216667
recurrent,recent,1e-06,0.0,60,0.883333,1.9,2.0,346.516667
recurrent,recent,1e-06,0.0,60,0.866667,1.866667,2.0,344.2
recurrent,recent,1e-06,1e-06,60,0.866667,1.9,2.0,339.95
recurrent,young,0.0,0.0,60,0.866667,2.283333,2.0,378.583333
recurrent,young,0.0,0.0,60,0.916667,2.333333,2.0,406.333333
recurrent,young,0.0,0.0,60,0.833333,2.2,2.0,364.633333
recurrent,young,0.0,0.0,60,0.866667,2.316667,2.0,381.633333
recurrent,young,0.0,1e-06,60,0.85,2.25,2.0,378.0
recurrent,young,0.0,0.0,60,0.95,2.35,2.0,395.516667
recurrent,young,0.0,0.0,60,0.95,2.35,2.0,391.066667
recurrent,young,0.0,0.0,60,0.883333,2.133333,2.0,383.566667
recurrent,young,0.0,0.0,60,0.866667,2.15,2.0,384.266667
recurrent,young,0.0,1e-06,60,0.983333,2.5,2.0,403.866667
recurrent,young,1e-06,0.0,60,0.9,1.9,2.0,396.316667
recurrent,young,1e-06,0.0,60,0.916667,1.916667,2.0,397.833333
recurrent,young,1e-06,0.0,60,0.8,1.8,2.0,379.15
recurrent,young,1e-06,0.0,60,0.9,1.9,2.0,384.5
recurrent,young,1e-06,1e-06,60,0.95,1.95,2.0,408.15
recurrent,old,0.0,0.0,60,0.933333,2.066667,2.0,478.55
